Time,Qua_A,Qua_B,Qua_C,Qua_D,Eul_A,Eul_B,Eul_C
0.000000,0.190000,-0.190000,-0.960000,-0.020000,0.000000,0.000000,0.000000
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.000000,-0.020000,-0.020000,0.000000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-0.000000,0.000000,0.000801
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.000000,-0.020000,-0.020000,0.000000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-0.000000,0.000000,0.000801
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.190000,-0.190000,-0.960000,-0.020000,-3.104686,-0.381594,2.741228
0.000000,0.000000,0.000000,0.000000,0.000000,-3.104686,-0.381594,2.741228
0.000000,1.000000,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000
0.000000,1.000000,0.010000,-0.010000,0.000000,0.020005,-0.020001,-0.000200
0.000000,1.000000,0.010000,-0.020000,0.000000,0.020005,-0.020001,-0.000200
0.000000,1.000000,0.000000,-0.030000,0.000000,0.020017,-0.040011,-0.000400
0.000000,1.000000,0.000000,-0.040000,0.000000,0.000000,-0.060036,0.000000
0.000000,1.000000,0.000000,-0.050000,0.000000,0.000000,-0.080086,0.000000
0.000000,1.000000,0.000000,-0.060000,0.000000,0.000000,-0.100167,0.000000
0.000000,1.000000,0.000000,-0.070000,0.000000,0.000000,-0.120290,0.000000
0.000000,1.000000,0.000000,-0.080000,0.000000,0.000000,-0.140461,0.000000
0.000000,1.000000,-0.000000,-0.090000,0.000000,0.000000,-0.160691,0.000000
0.000000,0.990000,-0.000000,-0.100000,0.000000,-0.000000,-0.180986,0.000000
0.000000,0.990000,-0.000000,-0.110000,0.010000,-0.000000,-0.199317,0.000000
0.000000,0.990000,-0.000000,-0.130000,0.010000,-0.002255,-0.219560,0.020292
0.000000,0.990000,-0.000000,-0.140000,0.010000,-0.002691,-0.260331,0.020494
0.000000,0.990000,-0.010000,-0.150000,0.010000,-0.002914,-0.280879,0.020609
0.000000,0.990000,-0.010000,-0.160000,0.010000,-0.023875,-0.301340,0.023875
0.000000,0.980000,-0.010000,-0.180000,0.010000,-0.024242,-0.322143,0.024242
0.000000,0.980000,-0.010000,-0.190000,0.010000,-0.024808,-0.360348,0.024808
0.000000,0.980000,-0.010000,-0.200000,0.010000,-0.025221,-0.381378,0.025221
0.000000,0.980000,-0.010000,-0.220000,0.010000,-0.025652,-0.402587,0.025652
0.000000,0.970000,-0.010000,-0.230000,0.010000,-0.026572,-0.445601,0.026572
0.000000,0.970000,-0.010000,-0.250000,0.010000,-0.026839,-0.462291,0.026839
0.000000,0.960000,-0.020000,-0.260000,0.010000,-0.027885,-0.506135,0.027885
0.000000,0.960000,-0.020000,-0.280000,0.010000,-0.050420,-0.522214,0.034222
0.000000,0.960000,-0.020000,-0.290000,0.010000,-0.052184,-0.567114,0.036046
0.000000,0.950000,-0.020000,-0.310000,0.010000,-0.053139,-0.590047,0.037020
0.000000,0.950000,-0.020000,-0.330000,0.010000,-0.054716,-0.629326,0.038861
0.000000,0.940000,-0.020000,-0.340000,0.010000,-0.057015,-0.677183,0.041153
0.000000,0.930000,-0.030000,-0.360000,0.010000,-0.057748,-0.692938,0.042130
0.000000,0.930000,-0.030000,-0.380000,0.010000,-0.085045,-0.732863,0.054227
0.000000,0.920000,-0.030000,-0.390000,0.010000,-0.089134,-0.784117,0.058162
0.000000,0.910000,-0.030000,-0.410000,0.010000,-0.090530,-0.799489,0.060020
0.000000,0.900000,-0.030000,-0.430000,0.010000,-0.094581,-0.841435,0.064407
0.000000,0.900000,-0.030000,-0.440000,0.010000,-0.099290,-0.884187,0.069412
0.000000,0.890000,-0.030000,-0.460000,0.010000,-0.102423,-0.913096,0.072351
0.000000,0.880000,-0.040000,-0.480000,0.010000,-0.108442,-0.958273,0.078575
0.000000,0.870000,-0.040000,-0.490000,0.010000,-0.148160,-1.004698,0.103525
0.000000,0.860000,-0.040000,-0.510000,0.010000,-0.152504,-1.019412,0.108502
0.000000,0.850000,-0.040000,-0.530000,0.010000,-0.164264,-1.068335,0.120350
0.000000,0.840000,-0.040000,-0.550000,0.010000,-0.178761,-1.120229,0.134794
0.000000,0.830000,-0.050000,-0.560000,0.010000,-0.197003,-1.176325,0.152802
0.000000,0.810000,-0.050000,-0.580000,0.010000,-0.250728,-1.190622,0.192436
0.000000,0.800000,-0.050000,-0.590000,0.010000,-0.279857,-1.218550,0.223133
0.000000,0.790000,-0.050000,-0.610000,0.010000,-0.298076,-1.231533,0.242187
0.000000,0.780000,-0.050000,-0.620000,0.010000,-0.348771,-1.297180,0.291888
0.000000,0.770000,-0.050000,-0.640000,0.010000,-0.380201,-1.310058,0.324086
0.000000,0.750000,-0.060000,-0.650000,0.010000,-0.472256,-1.395071,0.414210
0.000000,0.740000,-0.060000,-0.670000,0.010000,-0.608634,-1.341383,0.540989
0.000000,0.730000,-0.060000,-0.680000,0.010000,-0.821893,-1.432121,0.750929
0.000000,0.720000,-0.060000,-0.700000,0.010000,-0.979154,-1.441091,0.908603
0.000000,0.700000,-0.060000,-0.710000,0.010000,-0.979154,   nan,1.372228
0.000000,0.690000,-0.060000,-0.720000,0.010000,-1.726352,-1.450724,1.655272
