Time,Eul_A,Eul_B,Eul_C
0.000000,0.000000,0.000000,0.000000
0.000000,-0.020001,0.000000,-0.000000
0.000000,-0.040019,0.020001,-0.000400
0.000000,-0.080101,0.020001,-0.000800
0.000000,-0.120383,0.040011,-0.002402
0.000000,-0.160805,0.040011,-0.003203
0.000000,-0.201477,0.040011,-0.004003
0.000000,-0.240362,0.059435,-0.007213
0.000000,-0.260822,0.059435,-0.007814
0.000000,-0.302048,0.059435,-0.009016
0.000000,-0.340985,0.078481,-0.013643
0.000000,-0.382146,0.082293,0.004415
0.000000,-0.424619,0.082694,0.002810
0.000000,-0.463558,0.082293,0.001003
0.000000,-0.485854,0.101977,-0.004624
0.000000,-0.547215,0.101575,-0.007841
0.000000,-0.592912,0.121297,-0.015715
0.000000,-0.633312,0.120491,-0.018334
0.000000,-0.673165,0.126336,-0.002016
0.000000,-0.714477,0.125933,-0.004839
0.000000,-0.761769,0.126739,-0.007258
0.000000,-0.781821,0.144502,-0.016574
0.000000,-0.823830,0.151984,-0.001416
0.000000,-0.873038,0.153199,-0.004249
0.000000,-0.892454,0.152389,-0.006273
0.000000,-0.912068,0.151580,-0.008296
0.000000,-0.959537,0.169206,-0.021105
0.000000,-0.985211,0.169815,-0.022728
0.000000,-1.031835,0.169409,-0.026582
0.000000,-1.055667,0.185868,-0.039084
0.000000,-1.077160,0.184647,-0.041524
0.000000,-1.103785,0.185258,-0.043354
0.000000,-1.156037,0.201766,-0.058816
0.000000,-1.178748,0.200337,-0.061464
0.000000,-1.201832,0.198909,-0.064112
0.000000,-1.252907,0.198093,-0.068793
0.000000,-1.276402,0.208712,-0.055226
0.000000,-1.300947,0.207486,-0.058084
0.000000,-1.326415,0.193811,-0.076725
0.000000,-1.351770,0.192385,-0.079367
0.000000,-1.380031,0.192996,-0.081398
0.000000,-1.405983,0.191570,-0.084038
0.000000,-1.464829,0.206055,-0.102514
0.000000,-1.463398,0.203808,-0.103124
0.000000,-1.490688,0.202174,-0.105967
0.000000,-1.518289,0.214440,-0.094311
0.000000,-1.546837,0.215259,-0.096553
0.000000,-1.546496,0.213007,-0.097367
0.000000,-1.575121,0.211575,-0.100422
0.000000,-1.603671,0.212393,-0.102661
0.000000,-1.604152,0.210143,-0.103474
0.000000,-1.633574,0.208712,-0.106525
0.000000,-1.662006,0.209530,-0.108761
0.000000,-1.663372,0.207281,-0.109574
0.000000,-1.693524,0.205851,-0.112620
0.000000,-1.698306,0.219355,-0.128218
0.000000,-1.728781,0.217716,-0.131469
0.000000,-1.759552,0.216077,-0.134716
0.000000,-1.791122,0.230228,-0.125399
0.000000,-1.817693,0.216078,-0.112421
0.000000,-1.822183,0.229818,-0.101243
0.000000,-1.858956,0.226533,-0.105941
0.000000,-1.934940,0.247932,-0.147207
0.000000,-1.992463,0.277966,-0.205633
0.000000,-2.013489,0.297154,-0.243355
0.000000,-2.060065,0.299456,-0.295963
0.000000,-2.090747,0.295063,-0.345949
0.000000,-2.157399,0.284628,-0.401031
0.000000,-2.235300,0.280671,-0.476963
0.000000,-2.313488,0.240100,-0.540172
0.000000,-2.392969,0.227764,-0.617364
0.000000,-2.431862,0.211575,-0.668036
0.000000,-2.468010,0.204625,-0.690104
0.000000,-2.490804,0.204217,-0.712752
0.000000,-2.476710,0.211575,-0.713061
0.000000,-2.485455,0.218535,-0.736262
