Time,Eul_A,Eul_B,Eul_C
0.000000,0.000000,-0.000000,0.000000
0.000000,0.000000,-0.020001,0.000000
0.000000,-0.000000,-0.040011,0.000000
0.000000,-0.020017,-0.040011,0.000400
0.000000,-0.020037,-0.060036,0.000601
0.000000,-0.020066,-0.080086,0.000803
0.000000,-0.040139,-0.080086,0.001605
0.000000,-0.040212,-0.100167,0.002010
0.000000,-0.040301,-0.120290,0.002417
0.000000,-0.060630,-0.140461,0.004242
0.000000,-0.060814,-0.160691,0.004862
0.000000,-0.082738,-0.159880,0.026741
0.000000,-0.082415,-0.178344,0.027443
0.000000,-0.103222,-0.198297,0.030405
0.000000,-0.103869,-0.218535,0.031560
0.000000,-0.125070,-0.238659,0.035207
0.000000,-0.125920,-0.259089,0.036630
0.000000,-0.147604,-0.279422,0.040993
0.000000,-0.148704,-0.300084,0.042705
0.000000,-0.169304,-0.317297,0.047613
0.000000,-0.193417,-0.358639,0.055558
0.000000,-0.195158,-0.379655,0.057934
0.000000,-0.218669,-0.400632,0.064706
0.000000,-0.218693,-0.417416,0.067253
0.000000,-0.242890,-0.438520,0.074942
0.000000,-0.268149,-0.476194,0.086602
0.000000,-0.271325,-0.497921,0.090289
0.000000,-0.297518,-0.519677,0.100058
0.000000,-0.325775,-0.557657,0.115030
0.000000,-0.354027,-0.579971,0.126781
0.000000,-0.355798,-0.595593,0.131944
0.000000,-0.387900,-0.633538,0.151042
0.000000,-0.419197,-0.656566,0.165729
0.000000,-0.455618,-0.695019,0.189025
0.000000,-0.468370,-0.704956,0.220671
0.000000,-0.514245,-0.753232,0.249214
0.000000,-0.547695,-0.767030,0.269536
0.000000,-0.595740,-0.805822,0.303726
0.000000,-0.633190,-0.818907,0.328049
0.000000,-0.643441,-0.832179,0.341916
0.000000,-0.701854,-0.870731,0.385892
0.000000,-0.745779,-0.882611,0.416483
0.000000,-0.814684,-0.921319,0.470164
0.000000,-0.864914,-0.932312,0.506608
0.000000,-0.913826,-0.971974,0.556532
0.000000,-0.970903,-0.981982,0.599393
0.000000,-1.065146,-1.021324,0.677082
0.000000,-1.124840,-1.009189,0.726359
0.000000,-1.159438,-1.017506,0.762862
0.000000,-1.272767,-1.054392,0.859044
0.000000,-1.346241,-1.060500,0.917425
0.000000,-1.418881,-1.041574,0.976565
0.000000,-1.466070,-1.046347,1.024295
0.000000,-1.594283,-1.078818,1.137675
0.000000,-1.672306,-1.054392,1.199863
0.000000,-1.725568,-1.056014,1.253272
0.000000,-1.801189,-1.056014,1.314682
0.000000,-1.858937,-1.029419,1.368743
0.000000,-1.931362,-1.027482,1.427378
0.000000,-1.990312,-0.999499,1.480932
0.000000,-2.057696,-0.995810,1.535413
0.000000,-2.108971,-0.992143,1.587176
0.000000,-2.177049,-0.961411,1.636620
0.000000,-2.184711,-0.936688,1.636666
0.000000,-2.241863,-0.930636,1.682863
0.000000,-2.287306,-0.924633,1.729660
0.000000,-2.346184,-0.893069,1.770605
0.000000,-2.355072,-0.869490,1.770731
0.000000,-2.396453,-0.862083,1.814127
0.000000,-2.440333,-0.853522,1.849785
0.000000,-2.449574,-0.830398,1.849948
0.000000,-2.495954,-0.799202,1.889993
0.000000,-2.508966,-0.776518,1.883255
0.000000,-2.543370,-0.767308,1.921051
0.000000,-2.552976,-0.745583,1.921240
0.000000,-2.587794,-0.735287,1.949737
0.000000,-2.597425,-0.713918,1.949932
0.000000,-2.607169,-0.692938,1.950127
0.000000,-2.637287,-0.682584,1.984663
0.000000,-2.647004,-0.661879,1.984870
0.000000,-2.658577,-0.641003,1.976848
0.000000,-2.686285,-0.630068,2.009592
0.000000,-2.686285,-0.630068,2.009592
0.000000,-2.696029,-0.609918,2.009801
0.000000,-2.705863,-0.590047,2.010010
0.000000,-2.732699,-0.578060,2.032654
0.000000,-2.742419,-0.558365,2.032864
0.000000,-2.742419,-0.558365,2.032864
0.000000,-2.752220,-0.538909,2.033074
0.000000,-2.775832,-0.526835,2.062967
0.000000,-2.775832,-0.526835,2.062967
0.000000,-2.785483,-0.507507,2.063183
0.000000,-2.796020,-0.487932,2.054433
0.000000,-2.796020,-0.487932,2.054433
0.000000,-2.805815,-0.469006,2.054643
0.000000,-2.805815,-0.469006,2.054643
0.000000,-2.844924,-0.466541,2.085390
0.000000,-2.844924,-0.466541,2.085390
0.000000,-2.854644,-0.447596,2.085499
0.000000,-2.854644,-0.447596,2.085499
0.000000,-2.864419,-0.428822,2.085608
0.000000,-2.864419,-0.428822,2.085608
